[2019-12-09T11:05:13.171] [INFO] http - [::1 GET / 304 255ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1]
[2019-12-09T11:05:15.130] [INFO] http - [::1 GET /favicon.ico 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1]
[2019-12-09T11:05:26.848] [INFO] http - [::1 POST /login 200 183ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:05:53.214] [INFO] http - [::1 GET /organ?username=admin 200 42ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:05:54.830] [INFO] http - [::1 GET /menu?username=admin 200 33ms][http://localhost:8006/organ?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:09:39.012] [INFO] http - [::1 GET /rolepower?username=admin 302 35ms][http://localhost:8006/menu?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:09:39.029] [INFO] http - [::1 GET / 304 6ms][http://localhost:8006/menu?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:09:44.440] [INFO] http - [::1 POST /login 200 27ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:09:47.017] [INFO] http - [::1 GET /rolepower?username=admin 200 31ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:04.373] [INFO] http - [::1 GET /logout?username=admin 302 3ms][http://localhost:8006/rolepower?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:04.377] [INFO] http - [::1 GET / 304 2ms][http://localhost:8006/rolepower?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:11.311] [INFO] http - [::1 POST /login 200 9ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:14.500] [INFO] http - [::1 GET /turnitin?username=admin 500 14ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:44.060] [INFO] http - [::1 POST /login 200 48ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:10:46.878] [INFO] http - [::1 GET /turnitin?username=admin 200 40ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:11:17.143] [INFO] http - [::1 GET /turnitin?username=admin 200 20ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:11:55.592] [INFO] http - [::1 GET /turnitin?username=admin 200 6ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:11:59.168] [INFO] http - [::1 GET /release?username=admin 200 38ms][http://localhost:8006/turnitin?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:12:20.495] [INFO] http - [::1 GET /template?artid=pre 304 78ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-09T11:13:33.121] [INFO] http - [::1 GET /turnitin?username=admin 200 8ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
